"","industry","AUS","AUT","BEL","BGR","BRA","CAN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","CHE","CHN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","TWN","USA"
"19","vC28",1217.8259275939,3105.8522477176,483.041523367834,1066.08767936783,13065.5161069605,2776.94964865505,13.7489031063214,6655.84658447651,44379,2997.00506591797,5778.22235205988,172.93805749341,4040.92180623777,9730.14011959387,16056.0554328054,79.7137983674681,0,3720.82849772419,1807.31561570896,404673.105242832,4645.84239130216,7689.80902051968,1427.24347468361,30822.5487331311,27846.6236702655,36174.2294860446,98.0286803893836,38.9431649917758,87.6233027772761,5939.06934420939,112.534596869652,862.697229173413,4554.95787066243,624.78504166136,1957.87097559879,139261.146877718,1521.3538560668,542.129351308203,4655.48586251821,15084.4248000042,17453.9057839829,133134.554715166
"20","vC29",56.1696617952233,2924.99292282014,6603.35838984922,257.229954136178,37089.2285686859,11866.5828314772,5.8803779108355,9434.53366857077,73580,255.797996520996,10714.59908445,222.473364501163,770.811051614173,16642.5890624855,11127.8221971149,183.41547363591,0,5250.16733674465,247.518397060532,272866.479256149,8306.74160495743,33716.1208718118,701.313642658662,14827.3010036672,68829.1841099991,52887.4095011137,77.6192290780952,25.2245592177821,42.9884910445115,43376.7160803556,64.627645390565,729.398043525748,7399.38148538212,1231.2335450299,4822.38763767843,132827.580782426,5092.12508825861,797.784249157805,6841.66520231253,19887.1201497411,5910.61855233334,112220.766709966
"21","vC30",33.1366002395229,260.58108354362,1267.92266196165,113.044606231144,4952.47853107185,2308.56707173547,1.3209180891645,1249.83443400506,5437,145.368003845215,1851.9512372738,78.1955028198128,1327.17299966953,7414.48302991657,7763.48747255376,195.703040123531,0,332.007790840848,551.913249515056,105349.288815422,586.223820475428,3600.99500018822,11.6146613413382,1014.3751219121,16113.7028580009,33589.5628548863,20.6698007515089,0.0110323144975233,141.990689142709,2743.00494398875,3.78466660943505,1628.32662945157,3632.3845208167,103.548777209065,663.316488041816,0,307.295262246638,49.443412635723,1432.08559939203,3545.71055223989,3087.40079966666,73127.5140251935
"22","vC31_32",60.821918644522,884.443945157341,1067.57840509299,689.932209207637,9859.13508196908,19377.4742217593,21.3823362338337,3098.64559309597,11759,0,1811.57344677125,373.433817189163,613.671663179901,3264.33007618054,11641.3947696231,1058.55849815309,0,929.846389090023,1144.89303749994,90079.7620971617,10396.3166192183,148634.726251378,1687.22438705397,16343.1241607089,9557.78678724942,981.533465372308,1075.9542788029,105.182785915377,109.872074634076,9404.00479989366,92.4693556428047,242.793619359559,3344.19662468448,318.270063253276,868.198164448691,17141.6510860417,569.61379264496,386.964495883589,3981.23756653384,6318.06829007028,642.211953576254,108252.222293465
"23","vC33",0,445.986304238751,163.027525608525,205.898789250937,0,0,3.42778907201838,917.329478393316,8750,282.18399810791,2225.66309987193,115.705212139589,978.514013788107,3935.74196872384,3004.73409119693,126.334791404895,0,235.60059390405,265.311804149957,0,0,0,417.531853491737,13404.1370074624,0,0,219.0587406412,0.196761948606031,168.451721334682,768.442252655029,216.448347843616,1267.22664100986,1059.83204327166,380.411997572502,798.72048554102,0,243.203440034474,226.819273684091,724.476112320159,0,10710.3905157505,16175.5029732177
"24","vD",98051.9044197787,37685.2138400594,35914.1374816265,40915.7542204199,410927.175989381,277612.169597746,1361.99173194455,75080.0590059394,295669.48626,2060.03295898438,150752.883462217,11676.3010344273,37710.736509527,262147.792920212,188292.98576705,28945.0819214366,11050.598052,34416.621502102,27596.87352,2822239.56754395,117032.99238,1191674.062728,13603.8195847356,151950.46552571,293487.060024,153562.947984,13457.81676304,2412.99083267477,8350.72997091201,189998.993664,864.15552,43533.5322127556,130158.809374296,25048.0757134995,71503.0017546727,1283135.53292542,21714.1551232624,8525.71807637053,57141.7226384806,182826.317084535,77730.789024,1870945.75734027
"25","vE36",5018.40698258402,353.71989171614,756.874636543668,1930.81038640333,26912.2682336481,0,708.047002158787,1456.0317022368,30667,877.621972084045,3148.47680481879,333.136385236476,1808.39558749914,8570.63553685395,11731.4924168039,6571.6338551501,0,1580.49615410026,1721.66949898895,209676.268208721,646.915079624969,8243.39709194339,116.210219606626,17383.8537177835,7736.93360794899,48906.47261889,636.786087429475,56.0764942855922,182.959927349784,698.472258024587,7.64248628829128,974.324624074456,3369.32341102679,820.918242490282,1724.55700472964,0,853.76843121243,721.063916198054,4572.6129909421,6996.86304147595,2042.31694552459,378.400628138848
"26","vE37_39",33.1933703687709,2364.18939615801,7585.8010801945,214.400206688243,0,1877.8815602368,131.598885892796,2099.86898680659,18912,0,8004.70579933791,198.291438842874,1337.4755556034,18659.2602049185,10400.3071739921,5443.72111666436,56.982348,2052.36800130228,0,102614.826125517,0,0,2703.53312696522,19386.6461406847,20172.7523959102,14998.6762686847,692.919013977812,377.789775952351,189.419997560445,133.343310391618,51.0176301222915,2203.00526244763,9442.47098999388,3176.32767648139,3187.9648760433,0,1052.59954549162,887.008916006267,5017.66514874967,1192.04316963342,4071.39855013614,36256.1653683948
"27","vF",1113.84800250967,3313.17718230906,2903.82044205686,1031.93319571136,12087.7735137358,17988.3560946255,18.00324,1385.28673689821,13838,1284.83996582031,9000.51824141646,373.37769390439,2789.19679304977,24966.2185185272,6149.6489103676,29.3013891585155,291.652488,1159.6108949035,2089.966824,277347.550595224,26862.5872439665,427646.303410868,262.847304,5711.90903035183,25514.191728,4342.24132907221,433.732589499764,526.598001382202,339.138115435303,21764.5208016517,93.616848,4603.25012419149,3226.7211167735,1215.76500305421,1959.06158921972,94280.0129044531,273.203810191347,146.012668970536,4575.76116388655,12534.4605237109,2254.005648,199462.870746723
"28","vG45",715.959944099284,1338.9022020176,1859.67532091567,3695.26328545674,12961.3243568516,14733.1595767989,170.636575969732,1648.83181130139,12963,1835.82800292969,9399.42380232992,275.308141020483,855.750764314785,14989.8085717324,10358.0510705585,814.227982583756,0,316.497901871936,847.780213964203,0,18597.2632855195,6938.30055282354,246.794069671434,6304.08705010975,17592.9296336855,4174.90754176605,325.925237166181,79.0693352861053,423.353607628429,5442.38969849213,57.0122873252202,2678.51688362239,1828.93933347162,1123.10455189644,968.587844198695,20582.3927313223,218.32517104871,222.545758573542,3249.98269781048,17801.3219185673,471.120602770428,7636.94788798818
